episode,reward,delay,energy,completion_ratio,violation_ratio,policy_loss,value_loss,entropy,gradient_norm
1,-48.43994178520832,4.5468299148968265,0.29716426362400544,1.0,0.0,2.612985554151237e-05,48224.2265625,-0.0,13954897.0
2,-49.199536240979455,4.571008729933798,0.3489448941641484,1.0,0.0,-5.46573537576478e-05,210392.21875,6.069213077022034e-23,27433576.0
3,-78.65360084127133,4.47474447966641,3.3906156044607227,1.0,0.0,-5.730257180402987e-05,231527.171875,-0.0,29365302.0
4,-45.79323683623208,4.258549684114535,0.32077399950867486,1.0,0.0,-2.0831927031395026e-05,30687.228515625,-0.0,9144449.0
5,-50.42751714990666,4.744514492927712,0.2982372220629542,1.0,0.0,2.6113964850082994e-05,48180.1875,-0.0,13736436.0
6,-48.94520946701652,4.535580438398431,0.3589405083032203,1.0,0.0,2.9832677682861686e-05,62808.20703125,-0.0,14292742.0
7,-76.17346196077612,4.352226506433515,3.2651196896440977,1.0,0.0,3.080472015426494e-05,67183.0703125,-0.0,14752104.0
8,-79.50562234227202,4.5182247082939435,3.4323375259332587,1.0,0.0,1.1041207471862435e-05,9049.095703125,3.210943077901094e-21,5549686.5
9,-73.76135574590148,4.221202750589429,3.1549328240007184,1.0,0.0,-1.7420778021914884e-05,21784.404296875,-0.0,8028441.5
10,-49.55614479023741,4.561834640201749,0.39377983882199197,1.0,0.0,-3.8116482755867764e-05,102418.9140625,-0.0,19718206.0
11,-44.386451381555126,4.17628895472917,0.26235618342634304,1.0,0.0,-2.9700478989980184e-05,62214.76953125,-0.0,13812329.0
12,-47.75044016462758,4.423849930235232,0.3511940862275251,1.0,0.0,-2.750065686996095e-05,53387.35546875,6.365220118713921e-36,13656968.0
13,-49.29597875681317,4.584876678978043,0.3447211967032763,1.0,0.0,4.556301973934751e-06,1636.114990234375,-0.0,2252361.0
14,-51.0634115789569,4.735687263260075,0.3706538946356155,1.0,0.0,1.8855946109397337e-05,25204.12890625,-0.0,9655456.0
15,-43.05009635423873,3.9619119541445045,0.34309768127937,1.0,0.0,4.058500053361058e-06,1292.386474609375,-0.0,1633699.375
16,-50.041699760766086,4.661345814617006,0.34282416145960304,1.0,0.0,-7.342901540141611e-07,224.628662109375,-0.0,340609.1875
17,-50.513683610890155,4.756451169536871,0.29491719155214463,1.0,0.0,-1.1171430742251687e-05,8968.0849609375,-0.0,6080282.5
18,-44.47741049661693,4.1931426635216,0.25459838614009356,1.0,0.0,6.170128472149372e-06,2824.40869140625,-0.0,2675212.25
19,-46.856488665813686,4.3840263668805415,0.3016224997008277,1.0,0.0,5.281818630464841e-06,2125.42578125,-0.0,2419944.5
20,-44.81763546881873,4.182405875436283,0.2993576714455898,1.0,0.0,-8.878831977199297e-06,5696.84521484375,-0.0,4155098.75
21,-51.41079922549929,4.816531394308578,0.3245485282413526,1.0,0.0,-3.15804686579213e-06,901.9080200195312,-0.0,1639869.75
22,-48.31844754385896,4.5225366663011854,0.30930808808471066,1.0,0.0,-1.7548964024172164e-06,390.9358825683594,-0.0,871075.5625
23,-48.65163454886443,4.576277094282387,0.2888863606040542,1.0,0.0,2.016100552282296e-05,28774.71484375,-0.0,9647889.0
24,-46.71526050154476,4.326377166799487,0.34514888335499033,1.0,0.0,1.6168132788152434e-05,18560.130859375,-0.0,7811789.0
25,-49.32189741729691,4.61373480263774,0.31845493909194983,1.0,0.0,1.4388507224794012e-05,14757.7236328125,-0.0,7169718.5
26,-46.27501316568264,4.343634020651176,0.2838672959170877,1.0,0.0,5.929962753725704e-06,2632.68798828125,-0.0,2609629.0
27,-47.18697020825339,4.391370074234514,0.3273269465908265,1.0,0.0,-1.4569534869224299e-05,15101.978515625,-0.0,6491776.0
28,-46.46335113611849,4.338374992613382,0.3079601209984669,1.0,0.0,-1.66713070939295e-05,19705.80078125,-0.0,7529285.0
29,-49.03080248113186,4.5626570126196615,0.34042323549352305,1.0,0.0,-1.7142974684247747e-05,20855.548828125,-0.0,8108895.5
30,-47.87982477477466,4.470999196181851,0.31698328129561476,1.0,0.0,-9.942890756065026e-06,7121.6748046875,-0.0,4793070.5
31,-51.98345508635286,4.813727913881226,0.38461759475406065,1.0,0.0,8.25420102046337e-06,5003.45458984375,-0.0,4361672.0
32,-45.0377474683644,4.208871839490502,0.294902907345939,1.0,0.0,9.522166692477185e-06,6526.22509765625,-0.0,4445026.5
33,-50.77220773516774,4.760341196982878,0.31687957653389576,1.0,0.0,-2.2341098429023987e-06,550.9252319335938,-0.0,1144071.625
34,-47.742209136761126,4.409923857811174,0.36429705586493877,1.0,0.0,1.6013600543374196e-05,18208.01953125,-0.0,7850352.0
35,-50.822606416758525,4.720534911812485,0.36172572986336715,1.0,0.0,4.797661404154496e-06,1807.3023681640625,-0.0,2441181.0
